Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.FontStyle,System.Drawing.GraphicsUnit,System.Byte)",,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,T:System.Windows.Forms.Label,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,T:System.Drawing.Font,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,P:System.Windows.Forms.Control.Font,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,36,12,T:System.Windows.Forms.Label,,,,,this.progLbl.AutoSize = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,36,12,P:System.Windows.Forms.Label.AutoSize,,,,,this.progLbl.AutoSize = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,32,12,M:System.Windows.Forms.Control.SuspendLayout,,,,,this.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,31,12,T:System.Windows.Forms.Button,,,,,this.closeBtn = new System.Windows.Forms.Button();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,31,12,M:System.Windows.Forms.Button.#ctor,,,,,this.closeBtn = new System.Windows.Forms.Button();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,31,12,T:System.Windows.Forms.Button,,,,,this.closeBtn = new System.Windows.Forms.Button();
